id,model,temperature,seed,timestamp,control_options,control_option_order,control_answer,control_extraction,control_decision,treatment_options,treatment_option_order,treatment_answer,treatment_extraction,treatment_decision,status,error_message,individual_score,weight,bias
0,gpt-3.5-turbo-0125,0.0,42,2025-04-08 21:29:17,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 8: 70%,Option 8,7,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 9: 80%,Option 9,8,OK,,-0.9999999900000002,1.0,Anchoring
1,gpt-3.5-turbo-0125,0.0,43,2025-04-08 21:29:19,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 8: 30%,Option 8,3,OK,,0.999999998,1.0,Anchoring
2,gpt-3.5-turbo-0125,0.0,44,2025-04-08 21:29:21,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,OK,,0.0,1.0,Anchoring
3,gpt-3.5-turbo-0125,0.0,45,2025-04-08 21:29:23,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 2: 90%,Option 2,9,OK,,-0.9999999900000002,1.0,Anchoring
4,gpt-3.5-turbo-0125,0.0,46,2025-04-08 21:29:25,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 6: 50%,Option 6,5,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 8: 70%,Option 8,7,OK,,0.999999995,1.0,Anchoring
5,gpt-3.5-turbo-0125,0.0,47,2025-04-08 21:29:26,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,OK,,0.0,1.0,Anchoring
6,gpt-3.5-turbo-0125,0.0,48,2025-04-08 21:29:28,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 8: 70%,Option 8,7,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 6: 50%,Option 6,5,OK,,0.6666666644444444,1.0,Anchoring
7,gpt-3.5-turbo-0125,0.0,49,2025-04-08 21:29:30,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,OK,,0.0,1.0,Anchoring
8,gpt-3.5-turbo-0125,0.0,50,2025-04-08 21:29:32,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 2: 90%,Option 2,9,OK,,0.9999999900000002,1.0,Anchoring
9,gpt-3.5-turbo-0125,0.0,51,2025-04-08 21:29:34,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,OK,,0.0,1.0,Anchoring
