id,model,temperature,seed,timestamp,control_options,control_option_order,control_answer,control_extraction,control_decision,treatment_options,treatment_option_order,treatment_answer,treatment_extraction,treatment_decision,status,error_message,individual_score,weight,bias
0,gpt-4o-mini-2024-07-18,0.0,42,2025-04-08 23:24:50,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 6: 50%,Option 6,5,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","Given the situation and the goal of improving product reliability through the new testing protocol, I would choose Option 9: 80%. This allocation level allows for a significant investment in the new testing protocol while still retaining some resources for other essential testing activities.",Option 9,8,OK,,0.4999999975,1.0,Anchoring
1,gpt-4o-mini-2024-07-18,0.0,43,2025-04-08 23:24:51,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",I choose Option 4: 70%.,Option 4,7,OK,,0.1999999996,1.0,Anchoring
2,gpt-4o-mini-2024-07-18,0.0,44,2025-04-08 23:24:54,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 2: 90%,Option 2,9,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",I choose Option 4: 70%.,Option 4,7,OK,,0.49999999875,1.0,Anchoring
3,gpt-4o-mini-2024-07-18,0.0,45,2025-04-08 23:24:55,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",I choose Option 2: 90%.,Option 2,9,OK,,-0.9999999900000002,1.0,Anchoring
4,gpt-4o-mini-2024-07-18,0.0,46,2025-04-08 23:24:59,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",I would choose Option 4: 30%. This allocation level allows for a significant focus on implementing and refining the new testing protocol while still leaving enough time for the team to manage their regular testing responsibilities.,Option 4,3,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","Given the situation and the need to implement and refine a new testing protocol, I would choose Option 9: 80%. This allocation allows for a significant focus on the new protocol while still leaving some capacity for other essential tasks.",Option 9,8,OK,,0.7499999981250001,1.0,Anchoring
5,gpt-4o-mini-2024-07-18,0.0,47,2025-04-08 23:25:02,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",I choose Option 5: 60%.,Option 5,6,OK,,0.6666666644444444,1.0,Anchoring
6,gpt-4o-mini-2024-07-18,0.0,48,2025-04-08 23:25:05,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 3: 20%,Option 3,2,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Option 6: 50%,Option 6,5,OK,,0.4999999975,1.0,Anchoring
7,gpt-4o-mini-2024-07-18,0.0,49,2025-04-08 23:25:06,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 4: 70%,Option 4,7,OK,,0.4999999975,1.0,Anchoring
8,gpt-4o-mini-2024-07-18,0.0,50,2025-04-08 23:25:08,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 2: 90%,Option 2,9,OK,,0.9999999900000002,1.0,Anchoring
9,gpt-4o-mini-2024-07-18,0.0,51,2025-04-08 23:25:11,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,"['0%', '10%', '20%', '30%', '40%', '50%', '60%', '70%', '80%', '90%', '100%']","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",Option 3: 80%,Option 3,8,OK,,0.0,1.0,Anchoring
